[INFO: 2023-04-16 06:36:55,381] Epoch 5 Batch 40 Loss 0.014, AP 1.000, ACC 1.000, PN 0.227
[INFO: 2023-04-16 06:36:58,001] Epoch 5 Batch 50 Loss 0.047, AP 0.999, ACC 0.992, PN 0.289
[INFO: 2023-04-16 06:36:59,978] Epoch 6 Batch 0 Loss 0.003, AP 1.000, ACC 1.000, PN 0.203
[INFO: 2023-04-16 06:37:02,593] Epoch 6 Batch 10 Loss 0.002, AP 1.000, ACC 1.000, PN 0.211
[INFO: 2023-04-16 06:37:05,204] Epoch 6 Batch 20 Loss 0.001, AP 1.000, ACC 1.000, PN 0.180
[INFO: 2023-04-16 06:37:07,825] Epoch 6 Batch 30 Loss 0.016, AP 1.000, ACC 0.992, PN 0.234
[INFO: 2023-04-16 06:37:10,443] Epoch 6 Batch 40 Loss 0.003, AP 1.000, ACC 1.000, PN 0.164
[INFO: 2023-04-16 06:37:13,061] Epoch 6 Batch 50 Loss 0.009, AP 1.000, ACC 0.992, PN 0.219
[INFO: 2023-04-16 06:37:15,016] Epoch 7 Batch 0 Loss 0.002, AP 1.000, ACC 1.000, PN 0.188
[INFO: 2023-04-16 06:37:17,614] Epoch 7 Batch 10 Loss 0.001, AP 1.000, ACC 1.000, PN 0.273
[INFO: 2023-04-16 06:37:20,205] Epoch 7 Batch 20 Loss 0.003, AP 1.000, ACC 1.000, PN 0.211
[INFO: 2023-04-16 06:37:24,765] *** Epoch 7 Batch 28 VAL AP 0.981, VAL ACC 0.979
[INFO: 2023-04-16 06:37:27,211] Epoch 7 Batch 30 Loss 0.002, AP 1.000, ACC 1.000, PN 0.344
[INFO: 2023-04-16 06:37:29,816] Epoch 7 Batch 40 Loss 0.005, AP 1.000, ACC 1.000, PN 0.188
[INFO: 2023-04-16 06:37:32,414] Epoch 7 Batch 50 Loss 0.046, AP 1.000, ACC 0.984, PN 0.281
[INFO: 2023-04-16 06:37:34,340] Epoch 8 Batch 0 Loss 0.002, AP 1.000, ACC 1.000, PN 0.195
[INFO: 2023-04-16 06:37:36,954] Epoch 8 Batch 10 Loss 0.048, AP 1.000, ACC 0.992, PN 0.234
[INFO: 2023-04-16 06:37:39,552] Epoch 8 Batch 20 Loss 0.001, AP 1.000, ACC 1.000, PN 0.234
[INFO: 2023-04-16 06:37:42,159] Epoch 8 Batch 30 Loss 0.001, AP 1.000, ACC 1.000, PN 0.234
[INFO: 2023-04-16 06:37:44,768] Epoch 8 Batch 40 Loss 0.001, AP 1.000, ACC 1.000, PN 0.211
[INFO: 2023-04-16 06:37:47,380] Epoch 8 Batch 50 Loss 0.001, AP 1.000, ACC 1.000, PN 0.227
[INFO: 2023-04-16 06:37:49,359] Epoch 9 Batch 0 Loss 0.001, AP 1.000, ACC 1.000, PN 0.219
[INFO: 2023-04-16 06:37:51,954] Epoch 9 Batch 10 Loss 0.001, AP 1.000, ACC 0.992, PN 0.164
[INFO: 2023-04-16 06:37:54,547] Epoch 9 Batch 20 Loss 0.001, AP 1.000, ACC 1.000, PN 0.320
[INFO: 2023-04-16 06:37:57,476] *** Epoch 9 Batch 22 VAL AP 0.973, VAL ACC 0.977
[INFO: 2023-04-16 06:38:01,417] Epoch 9 Batch 30 Loss 0.001, AP 1.000, ACC 1.000, PN 0.266
[INFO: 2023-04-16 06:38:04,018] Epoch 9 Batch 40 Loss 0.001, AP 1.000, ACC 1.000, PN 0.242
[INFO: 2023-04-16 06:38:06,622] Epoch 9 Batch 50 Loss 0.002, AP 1.000, ACC 1.000, PN 0.266
