[INFO: 2023-04-18 07:52:37,865] Epoch 0 Batch 910 Loss 10.017, ICI Loss 0.559, Entropy loss 9.459, BL loss 0.000
[INFO: 2023-04-18 07:53:34,264] Epoch 0 Batch 920 Loss 9.777, ICI Loss 0.373, Entropy loss 9.403, BL loss 0.000
[INFO: 2023-04-18 07:53:44,732] Epoch 0 Batch 930 Loss 9.794, ICI Loss 0.462, Entropy loss 9.332, BL loss 0.000
[INFO: 2023-04-18 07:56:04,445] Epoch 1 Batch 0 Loss 9.879, ICI Loss 0.477, Entropy loss 9.402, BL loss 0.000
[INFO: 2023-04-18 07:56:23,336] Epoch 1 Batch 10 Loss 10.717, ICI Loss 0.670, Entropy loss 10.047, BL loss 0.000
[INFO: 2023-04-18 07:58:09,971] Epoch 1 Batch 20 Loss 10.566, ICI Loss 0.509, Entropy loss 10.057, BL loss 0.000
[INFO: 2023-04-18 07:58:25,929] Epoch 1 Batch 30 Loss 9.803, ICI Loss 0.495, Entropy loss 9.308, BL loss 0.000
[INFO: 2023-04-18 08:00:03,410] Epoch 1 Batch 40 Loss 9.906, ICI Loss 0.444, Entropy loss 9.462, BL loss 0.000
[INFO: 2023-04-18 08:01:39,547] Epoch 1 Batch 50 Loss 10.138, ICI Loss 0.499, Entropy loss 9.639, BL loss 0.000
[INFO: 2023-04-18 08:01:56,604] Epoch 1 Batch 60 Loss 9.970, ICI Loss 0.575, Entropy loss 9.395, BL loss 0.000
[INFO: 2023-04-18 08:03:31,862] Epoch 1 Batch 70 Loss 11.730, ICI Loss 0.561, Entropy loss 11.169, BL loss 0.000
[INFO: 2023-04-18 08:05:05,435] Epoch 1 Batch 80 Loss 9.959, ICI Loss 0.610, Entropy loss 9.349, BL loss 0.000
[INFO: 2023-04-18 08:05:29,763] Epoch 1 Batch 90 Loss 10.053, ICI Loss 0.673, Entropy loss 9.380, BL loss 0.000
[INFO: 2023-04-18 08:07:05,268] Epoch 1 Batch 100 Loss 9.819, ICI Loss 0.444, Entropy loss 9.375, BL loss 0.000
[INFO: 2023-04-18 08:07:22,848] Epoch 1 Batch 110 Loss 9.912, ICI Loss 0.616, Entropy loss 9.296, BL loss 0.000
[INFO: 2023-04-18 08:08:58,982] Epoch 1 Batch 120 Loss 11.904, ICI Loss 0.553, Entropy loss 11.351, BL loss 0.000
[INFO: 2023-04-18 08:10:29,394] Epoch 1 Batch 130 Loss 9.897, ICI Loss 0.540, Entropy loss 9.357, BL loss 0.000
